frame,true_z,est_z,true_x,est_x,true_ttc,est_ttc,brake_needed
64,22.52871461926084,20.885255813598633,-1.4952566137014156,-1.5761189460754395,5.251196830345828,4.964546624433878,True
65,22.31170648852049,20.67054557800293,-1.475253021343672,-1.5614378452301025,5.115486949210919,4.82996639362637,True
66,22.094158170333195,20.455373764038086,-1.4552063024878836,-1.5471547842025757,5.104831080373863,4.8118874198026065,True
67,21.88158305847828,20.2496395111084,-1.4352372010300893,-1.535622239112854,5.222757605154858,4.923642304750108,True
68,21.67789912763309,20.028047561645508,-1.4152457143465016,-1.4933727979660034,5.426023718858576,5.055070417484428,False
69,21.48342003555151,19.81657600402832,-1.3952249877465657,-1.4443328380584717,5.6023401501360475,5.163320439699001,False
70,21.293160794435924,19.611682891845703,-1.3752180866146198,-1.3982162475585938,5.596949244113945,5.117371360351992,False
71,21.100910123219723,19.408424377441406,-1.3552028931238023,-1.3587377071380615,5.433886356357231,4.945707692372004,True
72,20.903103372662116,19.202783584594727,-1.3351928660147403,-1.325219988822937,5.231604128729143,4.749470061104422,True
73,20.702548997181072,18.999298095703125,-1.3151923730854809,-1.297044277191162,5.172476288009723,4.689196433050745,True
74,20.50513848724375,18.802488327026367,-1.295207240083919,-1.2718454599380493,5.258424858530884,4.762937659651225,True
75,20.31552810707971,18.61264419555664,-1.2751980067160207,-1.2459957599639893,5.465722207273171,4.939986133229625,True
76,20.135525860099612,18.434734344482422,-1.2551933540474702,-1.2206737995147705,5.715698673530861,5.160408816982012,False
77,19.964681499622923,18.26556968688965,-1.2351677867675408,-1.199967861175537,5.939054178104506,5.358530549596076,False
78,19.798065594240054,18.098501205444336,-1.2151499291260985,-1.1838033199310303,5.942340988677924,5.361570231569858,False
79,19.629517844487317,17.928770065307617,-1.195166712455805,-1.172873616218567,5.758981680790732,5.200520582023662,False
80,19.45376746579492,17.751506805419922,-1.1751428541694784,-1.1603602170944214,5.408500388497365,4.892659004001529,True
81,19.26742335620866,17.563600540161133,-1.1551366925448803,-1.1466033458709717,5.068547693599876,4.590156278178845,True
82,19.073890620107942,17.37014389038086,-1.1351109844907596,-1.1304292678833008,4.898032034359429,4.436884847348476,True
83,18.880541237712634,17.178375244140625,-1.1150846459016128,-1.1091914176940918,4.926201721353588,4.459746860140069,True
84,18.693158445326766,16.99258041381836,-1.0950859507275164,-1.0874214172363281,5.070941326498951,4.584681780472659,True
85,18.514492339683326,16.798479080200195,-1.075081061476126,-1.0640869140625,5.293672444424787,4.73390485050499,True
86,18.345463382862512,16.61870574951172,-1.0550983212553917,-1.0438165664672852,5.55256146453723,4.923359081102519,True
87,18.18670928955366,16.47084617614746,-1.0350459586092922,-1.0294593572616577,5.885589404236763,5.238689204607411,False
88,18.037209343894418,16.327844619750977,-1.0150797341382989,-1.0166752338409424,6.142849302870431,5.4806424084310255,False
89,17.89228184934093,16.186843872070312,-0.9950879921595905,-1.0069094896316528,6.186908582013429,5.5338670019993765,False
90,17.74553122695394,16.046545028686523,-0.9750648339356612,-0.9998524188995361,5.9671202075478496,5.366980303317171,False
91,17.59184383030525,15.890742301940918,-0.9550339692044079,-0.9832682609558105,5.584217472855832,5.025511844083713,False
92,17.42614313133151,15.719780921936035,-0.9350387842034257,-0.960352897644043,5.081602701891255,4.570776267304931,True
93,17.246210270154084,15.535689353942871,-0.9150052913979718,-0.9335362911224365,4.667207382140629,4.195225354803774,True
94,17.05665363751083,15.344721794128418,-0.894990542006255,-0.906981885433197,4.455847872981908,4.001718724815239,True
95,16.865905576405805,15.154561042785645,-0.8750017717181753,-0.8844199180603027,4.453294079327497,3.9936308901295154,True
96,16.68037767954031,14.96924877166748,-0.8550132741668044,-0.863251805305481,4.5660825773332,4.085077112754475,True
97,16.50311508878463,14.793395042419434,-0.8350055653170824,-0.8380603790283203,4.75428839857021,4.244398859299705,True
98,16.33526229631613,14.627412796020508,-0.8150062081590328,-0.8123035430908203,4.977768422427567,4.435471677520648,True
99,16.177528391130426,14.470471382141113,-0.7950215229677582,-0.7905765175819397,5.269074478908291,4.6816574908263595,True
100,16.030059946024497,14.323224067687988,-0.775013809863858,-0.775389552116394,5.585824606523768,4.947581684248243,True
101,15.893092179393504,14.188016891479492,-0.755021353754495,-0.7630529403686523,5.990215351510277,5.292946197200528,False
102,15.765404785244343,14.060452461242676,-0.7350212477745977,-0.7512716054916382,6.307455171122052,5.5598703308449595,False
103,15.642425933023139,13.938577651977539,-0.7150287470369161,-0.7374156713485718,6.38227741696741,5.627910622614054,False
104,15.51780678199441,13.811795234680176,-0.6950137081941508,-0.7142499685287476,6.1343870101151845,5.40845005901576,False
105,15.386456227666127,13.677072525024414,-0.675014074708054,-0.6860925555229187,5.693513344015982,5.0212217928868945,False
106,15.24329163330236,13.533053398132324,-0.6550213859883773,-0.6596896052360535,5.123639699571193,4.531204710579399,True
107,15.086374862206652,13.37633228302002,-0.635028169241816,-0.6358816027641296,4.667934765900993,4.135904371468272,True
108,14.91994148363354,13.211906433105469,-0.615032584965655,-0.612565279006958,4.427939992562275,3.9266197210022025,True
109,14.751753067050409,13.04867172241211,-0.5950322664977399,-0.590264618396759,4.413749514386948,3.9170782756164972,True
110,14.588059369334959,12.889159202575684,-0.5750348232030991,-0.5713114738464355,4.526185008944579,4.015115666943199,True
111,14.43200587321734,12.738228797912598,-0.5550091057657764,-0.5579418540000916,4.728428393156805,4.193642225456449,True
112,14.284781579803044,12.593524932861328,-0.5349996989113596,-0.54496169090271,4.970422376453319,4.399909154614754,True
113,14.147211107254762,12.457225799560547,-0.5150035639453584,-0.5289567112922668,5.297514738642141,4.67526826299558,True
114,14.019470325776505,12.328124046325684,-0.49500214323031777,-0.5057781934738159,5.654025884316683,4.965555279222788,True
115,13.901818920267427,12.207588195800781,-0.4749823383066744,-0.47214755415916443,6.124172961921299,5.342841481535285,False
116,13.793126934213326,12.097630500793457,-0.4549725189747661,-0.4365009665489197,6.501968008230156,5.648948686656594,False
117,13.68912767330052,11.991450309753418,-0.43499495089793166,-0.4039085805416107,6.609515790642188,5.726407545370343,False
118,13.583633742253095,11.885299682617188,-0.4149694643633728,-0.37299013137817383,6.327605199225707,5.48796680967539,False
119,13.471515373571139,11.773241996765137,-0.39495085170213834,-0.3455289602279663,5.813065965878455,5.056493288351837,False
120,13.347659366109507,11.645923614501953,-0.37493870958339115,-0.32230058312416077,5.154652162526421,4.486492451178586,False
121,13.208768585248103,11.50403118133545,-0.35494560084493487,-0.3006283938884735,4.5455551766313,3.9588292284812585,False
122,13.052317811360806,11.346956253051758,-0.33493318434348035,-0.28249725699424744,3.9825926842212214,3.4743979771291027,True
123,12.878420638784137,11.173723220825195,-0.3149393396947474,-0.26941412687301636,3.583885639143628,3.1281257340034263,True
124,12.693121960195922,10.991095542907715,-0.2949380283731112,-0.26093682646751404,3.3805112035038603,2.949419653088233,True
125,12.505701734656512,10.8092679977417,-0.27493442159007986,-0.25457265973091125,3.3563661752876586,2.9273700464814247,True
126,12.323073774543062,10.633054733276367,-0.2549487112752038,-0.24888741970062256,3.423975607676862,2.9851089288534505,True
127,12.148444490208382,10.460693359375,-0.23493221616197602,-0.23562148213386536,3.550630834028223,3.08594614597494,True
128,11.983041765645302,10.295156478881836,-0.2149223453624634,-0.2124604433774948,3.704375295259383,3.2049505941319167,True
129,11.82764393671924,10.139688491821289,-0.19491866280901388,-0.18829916417598724,3.9097667249746326,3.366823377947085,True
130,11.682426618765321,9.994385719299316,-0.17491981810173746,-0.16432102024555206,4.133872630347198,3.543534164589314,True
131,11.547664293719743,9.838991165161133,-0.15494011564227575,-0.1415877491235733,4.423984221085165,3.716319008914629,True
132,11.423114286927197,9.698277473449707,-0.13490778752555252,-0.12179949134588242,4.733051993634785,3.9079401243196767,True
133,11.30884390603938,9.572519302368164,-0.1148871737907872,-0.10381752997636795,5.138844743793044,4.180477493027655,False
134,11.203655068653866,9.479273796081543,-0.09486906105363221,-0.09117740392684937,5.46343627945556,4.479022688350744,False
135,11.103227792381107,9.387758255004883,-0.07487511127404031,-0.08083242177963257,5.556103864436407,4.592458201825909,False
136,11.001457768397525,9.288138389587402,-0.05486378564375066,-0.06322333216667175,5.310214144859274,4.4084625958659265,False
137,10.893140319786179,9.178799629211426,-0.03483067665914563,-0.04035795480012894,4.860507541573832,4.045862098015133,True
138,10.774312510515829,9.058693885803223,-0.014862613902526634,-0.013213549740612507,4.387601914910096,3.6582148232044607,True
139,10.647739071750992,8.9328031539917,0.005130084701389648,0.015760697424411774,4.158146777805766,3.4678352843491362,True
140,10.519723365735107,8.80698013305664,0.02511880805991107,0.04377756640315056,4.137936956084387,3.448361668961887,True
141,10.395989450459416,8.686793327331543,0.0451298106284686,0.06980891525745392,4.293894855840119,3.5743558444220875,False
142,10.278200389608534,8.571393966674805,0.06513778219873595,0.09458649158477783,4.429051698007658,3.6819389746478906,False
143,10.163089249077817,8.457259178161621,0.08510297571507852,0.1192302405834198,4.406838293199992,3.659716208445581,False
144,10.045002713735137,8.338722229003906,0.10511808466991723,0.1409175992012024,4.171063086973116,3.460949557669038,False
145,9.919238908405799,8.210406303405762,0.12512862766776367,0.15721352398395538,3.8204496201732594,3.164121948237572,False
146,9.781065503529588,8.068142890930176,0.14512690623540175,0.1687566488981247,3.3973859317733557,2.806521522767947,True
147,9.628766506214905,7.914398193359375,0.16514537204316782,0.17773431539535522,3.06576934904337,2.5275058601188696,True
148,9.466713916652173,7.753515243530273,0.18516552997528174,0.1893381029367447,2.884300640214101,2.3725185443711507,True
149,9.30275975458585,7.593441963195801,0.205114856097884,0.2064136415719986,2.855685373446522,2.3436967032209526,True
